method_id,project,bug_id,version_key,class_fqn,method_name,start_line,end_line,loc,num_params,num_local_vars,num_method_calls,num_arith_ops,num_rel_ops,num_logical_ops,num_literals,num_nodes,num_edges,cyclomatic_complexity,num_conditions,num_branches,num_joins,num_loops,num_returns,max_nesting_depth,branch_ratio,has_loop,has_branching,num_unique_lines
Lang-1f_org.apache.commons.lang3.SerializationException_<init>_41,Lang,1,Lang-1f,org.apache.commons.lang3.SerializationException,<init>,41,43,2,0,0,2,0,0,0,0,5,4,1,0,0,0,0,0,0,0.0,0,0,2
Lang-1f_org.apache.commons.lang3.SerializationException_<init>_51,Lang,1,Lang-1f,org.apache.commons.lang3.SerializationException,<init>,51,53,2,1,0,2,0,0,0,0,7,6,1,0,0,0,0,0,0,0.0,0,0,2
Lang-1f_org.apache.commons.lang3.SerializationException_<init>_62,Lang,1,Lang-1f,org.apache.commons.lang3.SerializationException,<init>,62,64,2,1,0,2,0,0,0,0,7,6,1,0,0,0,0,0,0,0.0,0,0,2
Lang-1f_org.apache.commons.lang3.SerializationException_<init>_74,Lang,1,Lang-1f,org.apache.commons.lang3.SerializationException,<init>,74,76,2,2,1,2,0,0,0,0,11,10,1,0,0,0,0,0,0,0.0,0,0,2
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_<init>_43,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,<init>,43,45,2,0,0,2,0,0,0,0,5,4,1,0,0,0,0,0,0,0.0,0,0,2
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_<init>_52,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,<init>,52,55,3,1,0,2,0,0,0,0,8,7,1,0,0,0,0,0,0,0.0,0,0,3
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_<init>_63,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,<init>,63,66,3,1,0,3,0,0,0,0,8,7,1,0,0,0,0,0,0,0.0,0,0,3
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_<init>_75,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,<init>,75,78,3,1,0,3,0,0,0,0,9,8,1,0,0,0,0,0,0,0.0,0,0,3
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_getValue_87,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,getValue,87,89,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_setValue_107,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,setValue,107,109,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_isNaN_117,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,isNaN,117,119,2,0,0,2,0,0,0,0,1,0,1,0,1,1,1,1,0,1.0,1,1,1
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_isInfinite_126,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,isInfinite,126,128,2,0,0,2,0,0,0,0,1,0,1,0,1,1,1,1,0,1.0,1,1,1
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_add_167,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,add,167,169,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_subtract_188,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,subtract,188,190,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_toFloat_240,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,toFloat,240,242,2,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_floatValue_220,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,floatValue,220,222,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_equals_277,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,equals,277,280,3,1,0,3,0,1,1,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_hashCode_288,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,hashCode,288,290,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_compareTo_300,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,compareTo,300,303,3,1,1,2,0,0,0,0,2,1,1,0,0,0,0,1,0,0.0,0,0,2
Lang-1f_org.apache.commons.lang3.mutable.MutableFloat_toString_312,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableFloat,toString,312,314,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_<init>_43,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,<init>,43,45,2,0,0,2,0,0,0,0,5,4,1,0,0,0,0,0,0,0.0,0,0,2
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_<init>_52,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,<init>,52,55,3,1,0,2,0,0,0,0,8,7,1,0,0,0,0,0,0,0.0,0,0,3
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_<init>_63,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,<init>,63,66,3,1,0,3,0,0,0,0,8,7,1,0,0,0,0,0,0,0.0,0,0,3
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_<init>_75,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,<init>,75,78,3,1,0,3,0,0,0,0,9,8,1,0,0,0,0,0,0,0.0,0,0,3
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_getValue_87,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,getValue,87,89,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_setValue_107,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,setValue,107,109,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_add_148,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,add,148,150,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_subtract_169,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,subtract,169,171,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_toShort_231,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,toShort,231,233,2,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_shortValue_181,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,shortValue,181,183,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_equals_245,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,equals,245,250,4,1,0,3,0,1,0,0,3,2,1,1,1,0,0,2,1,0.3333,0,1,3
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_toString_282,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,toString,282,284,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableShort_compareTo_270,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableShort,compareTo,270,273,3,1,1,1,1,2,0,3,2,1,1,0,0,0,0,1,0,0.0,0,0,2
Lang-1f_org.apache.commons.lang3.mutable.MutableObject_<init>_44,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableObject,<init>,44,46,2,0,0,2,0,0,0,0,5,4,1,0,0,0,0,0,0,0.0,0,0,2
Lang-1f_org.apache.commons.lang3.mutable.MutableObject_<init>_53,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableObject,<init>,53,56,3,1,0,2,0,0,0,0,8,7,1,0,0,0,0,0,0,0.0,0,0,3
Lang-1f_org.apache.commons.lang3.mutable.MutableObject_equals_93,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableObject,equals,93,106,10,1,0,7,0,7,0,0,8,7,1,3,4,1,1,4,3,0.5,1,1,8
Lang-1f_org.apache.commons.lang3.mutable.MutableObject_hashCode_114,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableObject,hashCode,114,116,2,0,0,2,0,1,0,1,1,0,1,0,1,1,1,1,0,1.0,1,1,1
Lang-1f_org.apache.commons.lang3.mutable.MutableObject_toString_125,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableObject,toString,125,127,2,0,0,2,0,1,0,1,1,0,1,0,1,1,1,1,0,1.0,1,1,1
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_<init>_43,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,<init>,43,45,2,0,0,2,0,0,0,0,5,4,1,0,0,0,0,0,0,0.0,0,0,2
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_<init>_52,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,<init>,52,55,3,1,0,2,0,0,0,0,8,7,1,0,0,0,0,0,0,0.0,0,0,3
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_<init>_63,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,<init>,63,66,3,1,0,3,0,0,0,0,8,7,1,0,0,0,0,0,0,0.0,0,0,3
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_<init>_75,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,<init>,75,78,3,1,0,3,0,0,0,0,9,8,1,0,0,0,0,0,0,0.0,0,0,3
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_getValue_87,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,getValue,87,89,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_setValue_107,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,setValue,107,109,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_isNaN_117,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,isNaN,117,119,2,0,0,2,0,0,0,0,1,0,1,0,1,1,1,1,0,1.0,1,1,1
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_isInfinite_126,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,isInfinite,126,128,2,0,0,2,0,0,0,0,1,0,1,0,1,1,1,1,0,1.0,1,1,1
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_add_167,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,add,167,169,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_subtract_188,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,subtract,188,190,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_toDouble_240,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,toDouble,240,242,2,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_doubleValue_230,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,doubleValue,230,232,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_equals_275,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,equals,275,278,3,1,0,3,0,1,1,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_hashCode_286,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,hashCode,286,289,3,0,1,3,0,1,0,1,2,1,1,0,0,0,0,1,0,0.0,0,0,2
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_compareTo_299,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,compareTo,299,302,3,1,1,2,0,0,0,0,2,1,1,0,0,0,0,1,0,0.0,0,0,2
Lang-1f_org.apache.commons.lang3.mutable.MutableDouble_toString_311,Lang,1,Lang-1f,org.apache.commons.lang3.mutable.MutableDouble,toString,311,313,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1
