method_id,project,bug_id,version_key,class_fqn,method_name,start_line,end_line,loc,num_params,num_local_vars,num_method_calls,num_arith_ops,num_rel_ops,num_logical_ops,num_literals,num_nodes,num_edges,cyclomatic_complexity,num_conditions,num_branches,num_joins,num_loops,num_returns,max_nesting_depth,branch_ratio,has_loop,has_branching,num_unique_lines,num_total_mutants,num_killed,num_survived,num_excluded,mutation_score,frac_ROR,frac_AOR,frac_LOR,frac_COR,frac_SOR,frac_ORU,frac_LVR,frac_STD,mutation_score_bin
Lang-49f_org.apache.commons.lang.math.Fraction_getFraction_141,Lang,49,Lang-49f,org.apache.commons.lang.math.Fraction,getFraction,141,154,10,2,1,7,2,4,1,4,10,12,4,3,3,3,0,1,3,0.3,0,1,8,24,19,5,0,0.7916666666666666,0.4166666666666667,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,medium
Lang-49f_org.apache.commons.lang.math.Fraction_getFraction_172,Lang,49,Lang-49f,org.apache.commons.lang.math.Fraction,getFraction,172,193,16,3,3,11,4,6,1,8,17,21,6,5,5,5,0,1,5,0.2941,0,1,13,45,39,6,0,0.8666666666666667,0.4,0.35555555555555557,0.0,0.06666666666666667,0.0,0.0,0.17777777777777778,0.0,medium
Lang-49f_org.apache.commons.lang.math.Fraction_getReducedFraction_209,Lang,49,Lang-49f,org.apache.commons.lang.math.Fraction,getReducedFraction,209,233,17,2,2,10,2,7,2,9,18,21,5,5,5,4,0,2,5,0.2778,0,1,15,52,45,7,0,0.8653846153846154,0.34615384615384615,0.0,0.038461538461538464,0.15384615384615385,0.0,0.07692307692307693,0.2692307692307692,0.11538461538461539,medium
Lang-49f_org.apache.commons.lang.math.Fraction_greatestCommonDivisor_572,Lang,49,Lang-49f,org.apache.commons.lang.math.Fraction,greatestCommonDivisor,572,614,21,2,3,12,11,13,3,25,23,29,8,5,8,6,2,2,5,0.3478,1,1,18,141,109,32,0,0.7730496453900709,0.2553191489361702,0.11347517730496454,0.05673758865248227,0.0851063829787234,0.014184397163120567,0.07092198581560284,0.3404255319148936,0.06382978723404255,medium
Lang-49f_org.apache.commons.lang.math.Fraction_getFraction_249,Lang,49,Lang-49f,org.apache.commons.lang.math.Fraction,getFraction,249,299,44,1,17,10,16,7,4,20,43,45,4,2,3,3,1,1,2,0.0698,1,1,42,131,105,26,0,0.8015267175572519,0.16030534351145037,0.3969465648854962,0.0,0.12213740458015267,0.0,0.0,0.1984732824427481,0.12213740458015267,medium
Lang-49f_org.apache.commons.lang.math.Fraction_getFraction_319,Lang,49,Lang-49f,org.apache.commons.lang.math.Fraction,getFraction,319,354,24,1,6,29,5,5,0,13,23,24,3,5,9,6,4,4,5,0.3913,1,1,21,51,41,8,2,0.8367346938775511,0.2549019607843137,0.23529411764705882,0.0,0.0,0.0,0.0,0.43137254901960786,0.0784313725490196,medium
Lang-49f_org.apache.commons.lang.math.Fraction_getProperNumerator_391,Lang,49,Lang-49f,org.apache.commons.lang.math.Fraction,getProperNumerator,391,393,2,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,1,4,4,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,high
Lang-49f_org.apache.commons.lang.math.Fraction_reduce_465,Lang,49,Lang-49f,org.apache.commons.lang.math.Fraction,reduce,465,474,7,0,1,7,2,2,0,2,6,5,1,2,2,0,0,3,2,0.3333,0,1,6,20,19,1,0,0.95,0.3,0.4,0.0,0.1,0.0,0.0,0.2,0.0,medium
Lang-49f_org.apache.commons.lang.math.Fraction_equals_832,Lang,49,Lang-49f,org.apache.commons.lang.math.Fraction,equals,832,842,8,1,1,8,0,4,1,0,6,5,1,2,2,0,0,3,2,0.3333,0,1,6,16,14,2,0,0.875,0.5625,0.0,0.0,0.25,0.0,0.0,0.1875,0.0,medium
Lang-49f_org.apache.commons.lang.math.Fraction_invert_485,Lang,49,Lang-49f,org.apache.commons.lang.math.Fraction,invert,485,497,9,0,0,8,2,3,0,4,9,10,3,3,3,2,0,2,3,0.3333,0,1,7,16,13,3,0,0.8125,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0,medium
