MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,LIVE
2,EXC
3,FAIL
4,FAIL
5,EXC
6,EXC
7,EXC
8,EXC
9,TIME
10,EXC
11,EXC
12,FAIL
13,EXC
14,FAIL
15,FAIL
16,FAIL
17,EXC
18,FAIL
19,LIVE
20,FAIL
21,EXC
22,FAIL
23,FAIL
24,FAIL
25,LIVE
26,FAIL
27,FAIL
28,FAIL
29,LIVE
30,FAIL
31,LIVE
32,LIVE
33,LIVE
34,FAIL
35,LIVE
36,LIVE
37,LIVE
38,LIVE
39,LIVE
40,LIVE
41,LIVE
42,LIVE
43,LIVE
44,LIVE
45,LIVE
46,LIVE
47,LIVE
48,LIVE
49,LIVE
50,LIVE
51,LIVE
52,LIVE
53,LIVE
54,LIVE
55,LIVE
56,LIVE
57,EXC
58,EXC
59,EXC
60,EXC
61,FAIL
62,LIVE
63,LIVE
64,UNCOV
65,UNCOV
66,LIVE
67,LIVE
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,LIVE
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,LIVE
80,FAIL
81,FAIL
82,FAIL
83,EXC
84,LIVE
85,EXC
86,FAIL
87,EXC
88,LIVE
89,EXC
90,LIVE
91,EXC
92,LIVE
93,EXC
94,EXC
95,EXC
96,FAIL
97,EXC
98,EXC
99,EXC
100,EXC
101,EXC
102,EXC
103,UNCOV
104,LIVE
105,EXC
106,EXC
107,EXC
108,EXC
109,EXC
110,EXC
111,EXC
112,EXC
113,EXC
114,EXC
115,EXC
116,EXC
117,EXC
118,EXC
119,EXC
120,EXC
121,EXC
122,EXC
123,EXC
124,EXC
125,EXC
126,EXC
127,EXC
128,EXC
129,EXC
130,EXC
131,EXC
132,FAIL
133,FAIL
134,FAIL
135,FAIL
136,EXC
137,FAIL
138,FAIL
139,FAIL
140,FAIL
141,FAIL
142,FAIL
143,FAIL
144,FAIL
145,FAIL
146,FAIL
147,FAIL
148,LIVE
149,FAIL
150,FAIL
151,LIVE
152,LIVE
153,FAIL
154,UNCOV
155,UNCOV
156,UNCOV
157,UNCOV
158,UNCOV
159,UNCOV
160,EXC
161,EXC
162,EXC
163,EXC
164,EXC
165,EXC
166,EXC
167,EXC
168,EXC
169,LIVE
170,EXC
171,LIVE
172,LIVE
173,EXC
174,LIVE
175,EXC
176,EXC
177,LIVE
178,EXC
179,LIVE
180,LIVE
181,FAIL
182,FAIL
183,FAIL
184,LIVE
185,FAIL
186,FAIL
187,FAIL
188,FAIL
189,FAIL
190,FAIL
191,EXC
192,EXC
193,EXC
194,EXC
195,EXC
196,EXC
197,EXC
198,LIVE
199,LIVE
200,EXC
201,LIVE
202,EXC
203,FAIL
204,FAIL
205,UNCOV
206,EXC
207,LIVE
208,EXC
209,EXC
210,EXC
211,EXC
212,EXC
213,EXC
214,EXC
215,EXC
216,EXC
217,LIVE
218,LIVE
219,EXC
220,LIVE
221,EXC
222,EXC
223,LIVE
224,UNCOV
225,UNCOV
226,UNCOV
227,UNCOV
228,UNCOV
229,UNCOV
230,UNCOV
231,UNCOV
232,UNCOV
233,FAIL
234,EXC
235,EXC
236,EXC
237,EXC
238,FAIL
239,FAIL
240,FAIL
241,FAIL
242,FAIL
243,FAIL
244,LIVE
245,FAIL
246,FAIL
247,FAIL
248,LIVE
249,LIVE
250,LIVE
251,LIVE
252,LIVE
253,LIVE
254,LIVE
255,LIVE
256,LIVE
257,LIVE
258,LIVE
259,LIVE
260,EXC
261,LIVE
262,LIVE
263,EXC
264,EXC
265,EXC
266,EXC
267,EXC
268,EXC
269,EXC
270,LIVE
271,FAIL
272,LIVE
273,LIVE
274,FAIL
275,LIVE
276,FAIL
277,LIVE
278,FAIL
279,FAIL
280,LIVE
281,FAIL
282,FAIL
283,LIVE
284,FAIL
285,LIVE
286,FAIL
287,EXC
288,LIVE
289,UNCOV
290,LIVE
291,FAIL
292,FAIL
293,FAIL
294,FAIL
295,FAIL
296,FAIL
297,FAIL
298,FAIL
299,FAIL
300,FAIL
301,FAIL
302,EXC
303,FAIL
304,FAIL
305,FAIL
306,FAIL
