loc,num_params,num_local_vars,num_method_calls,num_arith_ops,num_rel_ops,num_logical_ops,num_literals,num_nodes,num_edges,cyclomatic_complexity,num_conditions,num_branches,num_joins,num_loops,num_returns,max_nesting_depth,branch_ratio,has_loop,has_branching,num_unique_lines,num_total_mutants,frac_ROR,frac_AOR,frac_LOR,frac_COR,frac_SOR,frac_ORU,frac_LVR,frac_STD,project_Lang,project_Math
10.0,2.0,1.0,7,2.0,4,1.0,4.0,10.0,12.0,4,3,3,3,0,1.0,3,0.3,0,1,8,24.0,0.4166666666666667,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0833333333333333,1,0
16.0,3.0,3.0,11,4.0,6,1.0,7.5,17.0,21.0,6,5,5,5,0,1.0,5,0.2941,0,1,13,45.0,0.4,0.3555555555555555,0.0,0.0666666666666666,0.0,0.0,0.1777777777777777,0.0,1,0
17.0,2.0,2.0,10,2.0,7,2.0,7.5,18.0,21.0,5,5,5,4,0,2.0,5,0.2778,0,1,15,50.5,0.3461538461538461,0.0,0.0,0.1538461538461538,0.0,0.0,0.2692307692307692,0.1153846153846153,1,0
21.0,2.0,3.0,12,7.5,10,2.5,7.5,23.0,29.0,6,5,6,5,2,2.0,5,0.3478,1,1,18,50.5,0.2553191489361702,0.1134751773049645,0.0,0.0851063829787234,0.0,0.0,0.3404255319148936,0.0638297872340425,1,0
21.5,1.0,7.5,10,7.5,7,2.5,7.5,25.5,29.5,4,2,3,3,1,1.0,2,0.0698,1,1,18,50.5,0.1603053435114503,0.3969465648854962,0.0,0.1221374045801526,0.0,0.0,0.1984732824427481,0.1221374045801526,1,0
21.5,1.0,6.0,18,5.0,5,0.0,7.5,23.0,24.0,3,5,6,5,4,3.5,5,0.3913,1,1,18,50.5,0.2549019607843137,0.2352941176470588,0.0,0.0,0.0,0.0,0.4313725490196078,0.0784313725490196,1,0
2.0,0.0,0.0,2,1.0,0,0.0,0.0,1.0,0.0,1,0,0,0,0,1.0,0,0.0,0,0,1,4.0,0.0,0.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1,0
7.0,0.0,1.0,7,2.0,2,0.0,2.0,6.0,5.0,1,2,2,0,0,3.0,2,0.3333,0,1,6,20.0,0.3,0.4,0.0,0.1,0.0,0.0,0.2,0.0,1,0
8.0,1.0,1.0,8,0.0,4,1.0,0.0,6.0,5.0,1,2,2,0,0,3.0,2,0.3333,0,1,6,16.0,0.5625,0.0,0.0,0.25,0.0,0.0,0.1875,0.0,1,0
9.0,0.0,0.0,8,2.0,3,0.0,4.0,9.0,10.0,3,3,3,2,0,2.0,3,0.3333,0,1,7,16.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1,0
4.0,0.0,0.0,4,1.0,1,0.0,1.0,4.0,4.0,2,1,1,1,0,1.0,1,0.25,0,1,3,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4.0,0.0,0.0,3,0.0,1,0.0,1.0,3.0,2.0,1,1,1,0,0,2.0,1,0.3333,0,1,3,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0
15.0,1.0,1.0,15,6.0,5,0.0,7.5,12.0,11.0,1,5,6,4,4,3.5,5,0.6189,1,1,12,50.5,0.2745098039215686,0.3137254901960784,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1,0
10.0,1.0,2.0,9,4.0,3,1.0,3.0,8.0,8.0,2,2,2,1,0,2.0,2,0.25,0,1,7,31.0,0.2258064516129032,0.5161290322580645,0.0,0.1290322580645161,0.0,0.0,0.1290322580645161,0.0,1,0
6.0,2.0,2.0,4,1.0,2,1.0,1.0,5.0,5.0,2,1,1,1,0,1.0,1,0.2,0,1,4,13.0,0.4615384615384615,0.3076923076923077,0.0,0.2307692307692307,0.0,0.0,0.0,0.0,1,0
5.0,2.0,2.0,4,1.0,1,0.0,1.0,5.0,5.0,2,1,1,1,0,1.0,1,0.2,0,1,4,7.0,0.4285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1,0
6.0,2.0,2.0,4,1.0,2,1.0,1.0,5.0,5.0,2,1,1,1,0,1.0,1,0.2,0,1,4,13.0,0.4615384615384615,0.3076923076923077,0.0,0.2307692307692307,0.0,0.0,0.0,0.0,1,0
6.0,2.0,2.0,4,1.0,2,1.0,1.0,5.0,5.0,2,1,1,1,0,1.0,1,0.2,0,1,4,13.0,0.4615384615384615,0.3076923076923077,0.0,0.2307692307692307,0.0,0.0,0.0,0.0,1,0
2.0,1.0,0.0,2,0.0,0,0.0,0.0,1.0,0.0,1,0,0,0,0,1.0,0,0.0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,1,0
21.5,2.0,7.5,18,4.0,6,0.0,7.0,22.0,23.0,3,5,5,2,0,3.5,5,0.2273,0,1,18,48.0,0.3333333333333333,0.3333333333333333,0.0,0.125,0.0,0.0,0.2083333333333333,0.0,1,0
2.0,1.0,0.0,2,0.0,0,0.0,0.0,1.0,0.0,1,0,0,0,0,1.0,0,0.0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,1,0
