model,cv,accuracy,macro_f1,macro_auc,_accuracy_mean,_f1_mean,_auc_mean
Baseline: Majority class,Stratified 5-fold,0.355 ± 0.000,0.175 ± 0.000,0.500 ± 0.000,0.35485538051179466,0.17460916947669144,0.5
Baseline: Majority class,GroupKFold by class,0.355 ± 0.036,0.174 ± 0.013,0.500 ± 0.000,0.3548710510961074,0.17425526393556606,0.5
Baseline: LOC-only tree,Stratified 5-fold,0.558 ± 0.013,0.534 ± 0.005,0.734 ± 0.009,0.5583679253146621,0.5339217742081249,0.7336840122173037
Baseline: LOC-only tree,GroupKFold by class,0.524 ± 0.046,0.498 ± 0.031,0.704 ± 0.036,0.5242617320996915,0.4978775676710937,0.7040236838952041
Baseline: Operator-only tree,Stratified 5-fold,0.632 ± 0.006,0.623 ± 0.006,0.811 ± 0.007,0.6317172626489956,0.6231712123208644,0.8109220410799798
Baseline: Operator-only tree,GroupKFold by class,0.571 ± 0.032,0.557 ± 0.024,0.733 ± 0.017,0.5705109610736017,0.5573508251843147,0.7327212502532234
Decision Tree,Stratified 5-fold,0.808 ± 0.022,0.807 ± 0.023,0.929 ± 0.011,0.8075922313911812,0.807057733753628,0.9288688268074733
Decision Tree,GroupKFold by class,0.643 ± 0.058,0.636 ± 0.060,0.795 ± 0.051,0.64255530549304,0.6360293248748227,0.7950489891442082
KNN (k=15),Stratified 5-fold,0.878 ± 0.012,0.878 ± 0.012,0.971 ± 0.003,0.8781008585479702,0.8777929914327371,0.9709534463103257
KNN (k=15),GroupKFold by class,0.720 ± 0.092,0.713 ± 0.094,0.865 ± 0.066,0.7195058764691172,0.7129204737111303,0.8650342384171008
Naive Bayes,Stratified 5-fold,0.559 ± 0.016,0.502 ± 0.017,0.739 ± 0.015,0.5586199883304159,0.5019408003590833,0.7390328486046265
Naive Bayes,GroupKFold by class,0.561 ± 0.038,0.516 ± 0.041,0.733 ± 0.037,0.561467700258398,0.5158450855936747,0.7334271033498388
Random Forest,Stratified 5-fold,0.881 ± 0.009,0.881 ± 0.008,0.974 ± 0.003,0.8814580311744603,0.880954367712447,0.9739853235820586
Random Forest,GroupKFold by class,0.751 ± 0.090,0.744 ± 0.092,0.891 ± 0.048,0.7510254230224224,0.7441565247387539,0.891347912076022
AdaBoost,Stratified 5-fold,0.599 ± 0.011,0.546 ± 0.013,0.749 ± 0.007,0.5986593314995415,0.5456951411454251,0.7486867670057373
AdaBoost,GroupKFold by class,0.588 ± 0.037,0.539 ± 0.037,0.739 ± 0.017,0.588072018004501,0.5386562273137463,0.7390498474926008
MLP,Stratified 5-fold,0.789 ± 0.035,0.788 ± 0.037,0.919 ± 0.021,0.7887305159623239,0.7875054441048409,0.919039459448828
MLP,GroupKFold by class,0.641 ± 0.054,0.638 ± 0.051,0.813 ± 0.039,0.6410059181462032,0.63846114235197,0.8133875050213655
